,Marka:,Seri:,Model:,Yıl:,Yakıt Tipi:,Vites Tipi:,Motor Hacmi:,Motor Gücü:,Kilometre:,İlan No:
2156, Hyundai   , Accent Era   , 1.4 Start   , 2007   , LPG & Benzin   , Düz   , 1399 cc   , 97 hp   , 300.000 km   ,
2157, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 80 hp   , 246.000 km   ,
2158, Renault   , Megane   , 1.5 Blue DCI Touch   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 0 km   ,
2159, Renault   , R 9   , 1.4 Broadway   , 1992   , Benzin   , Düz   , 1390 cc   , 83 hp   , 197.000 km   ,
2160, Mercedes - Benz   , E   , 320 Avantgarde   , 2005   , LPG & Benzin   , Otomatik   , 3199 cc   , 224 hp   , 522.000 km   ,
2161, Tofaş   , Murat   , 131   , 1986   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 230.000 km   ,
2162, Ford   , Focus   , 1.5 TDCi Trend X   , 2015   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 167.000 km   ,
2163, Fiat   , Punto   , 1.3 Multijet Easy   , 2013   , Dizel   , Düz   , 1248 cc   , 75 hp   , 117.250 km   ,
2164, Mercedes - Benz   , C   , C 180 Kompressor BlueEfficiency Luxury   , 2010   , LPG & Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 151 - 175 HP   , 113.000 km   ,
2165, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 65 hp   , 200.000 km   ,
2166, Honda   , Civic   , 1.6 ES   , 2000   , LPG & Benzin   , Otomatik   , 1590 cc   , 126 hp   , 289.068 km   ,
2167, Fiat   , Uno   , 70 S   , 1995   , LPG & Benzin   , Düz   , 1372 cc   , 71 hp   , 282.000 km   ,
2168, Seat   , Ibiza   , 1.4 Style   , 2013   , LPG & Benzin   , Düz   , 1390 cc   , 85 hp   , 89.000 km   ,
2169, Ford   , Fusion   , 1.6   , 2004   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.535 km   ,
2170, Hyundai   , Getz   , 1.4 DOHC Start   , 2010   , LPG & Benzin   , Otomatik   , 1399 cc   , 97 hp   , 83.650 km   ,
2171, Kia   , Cerato   , 1.6 LX Basic   , 2008   , Dizel   , Düz   ,,, 420.000 km   ,
2172, Toyota   , Avensis   , 2.0 Sol   , 1999   , LPG & Benzin   , Otomatik   , 1998 cc   , 128 hp   , 286.000 km   ,
2173, Volkswagen   , Passat   , 1.8 T Highline   , 1997   , LPG & Benzin   , Düz   , 1781 cc   , 150 hp   , 300.000 km   ,
2174, Toyota   , Corolla   , 1.6 Comfort   , 2009   , LPG & Benzin   , Düz   , 1598 cc   , 124 hp   , 325.000 km   ,
2175, Renault   , R 11   , Flash   , 1991   , LPG & Benzin   , Düz   ,,, 378.000 km   ,
2176, Hyundai   , Getz   , 1.5 VGT HY KLM   , 2006   , Dizel   , Düz   , 1493 cc   , 110 hp   , 344.500 km   ,
2177, Hyundai   , Accent Era   , 1.4 Start   , 2007   , LPG & Benzin   , Düz   , 1399 cc   , 97 hp   , 300.000 km   ,
2178, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 80 hp   , 246.000 km   ,
2179, Renault   , Megane   , 1.5 Blue DCI Touch   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 0 km   ,
2180, Renault   , R 9   , 1.4 Broadway   , 1992   , Benzin   , Düz   , 1390 cc   , 83 hp   , 197.000 km   ,
2181, Mercedes - Benz   , E   , 320 Avantgarde   , 2005   , LPG & Benzin   , Otomatik   , 3199 cc   , 224 hp   , 522.000 km   ,
2182, Tofaş   , Murat   , 131   , 1986   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 230.000 km   ,
2183, Ford   , Focus   , 1.5 TDCi Trend X   , 2015   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 167.000 km   ,
2184, Fiat   , Punto   , 1.3 Multijet Easy   , 2013   , Dizel   , Düz   , 1248 cc   , 75 hp   , 117.250 km   ,
2185, Mercedes - Benz   , C   , C 180 Kompressor BlueEfficiency Luxury   , 2010   , LPG & Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 151 - 175 HP   , 113.000 km   ,
2186, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 65 hp   , 200.000 km   ,
2187, Honda   , Civic   , 1.6 ES   , 2000   , LPG & Benzin   , Otomatik   , 1590 cc   , 126 hp   , 289.068 km   ,
2188, Fiat   , Uno   , 70 S   , 1995   , LPG & Benzin   , Düz   , 1372 cc   , 71 hp   , 282.000 km   ,
2189, Ford   , Focus   , 1.6 Comfort   , 2011   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.000 km   ,
2190, Opel   , Corsa   , 1.3 CDTI Essentia   , 2014   , Dizel   , Düz   , 1248 cc   , 75 hp   , 159.000 km   ,
2191, Ford   , Fusion   , 1.6   , 2004   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.535 km   ,
2192, Hyundai   , Getz   , 1.4 DOHC Start   , 2010   , LPG & Benzin   , Otomatik   , 1399 cc   , 97 hp   , 83.650 km   ,
2193, Kia   , Cerato   , 1.6 LX Basic   , 2008   , Dizel   , Düz   ,,, 420.000 km   ,
2194, Toyota   , Avensis   , 2.0 Sol   , 1999   , LPG & Benzin   , Otomatik   , 1998 cc   , 128 hp   , 286.000 km   ,
2195, Volkswagen   , Passat   , 1.8 T Highline   , 1997   , LPG & Benzin   , Düz   , 1781 cc   , 150 hp   , 300.000 km   ,
2196, Toyota   , Corolla   , 1.6 Comfort   , 2009   , LPG & Benzin   , Düz   , 1598 cc   , 124 hp   , 325.000 km   ,
2197, Renault   , R 11   , Flash   , 1991   , LPG & Benzin   , Düz   ,,, 378.000 km   ,
2198, Hyundai   , Getz   , 1.5 VGT HY KLM   , 2006   , Dizel   , Düz   , 1493 cc   , 110 hp   , 344.500 km   ,
2199, Hyundai   , Accent Era   , 1.4 Start   , 2007   , LPG & Benzin   , Düz   , 1399 cc   , 97 hp   , 300.000 km   ,
2200, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 80 hp   , 246.000 km   ,
2201, Renault   , Megane   , 1.5 Blue DCI Touch   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 0 km   ,
2202, Renault   , R 9   , 1.4 Broadway   , 1992   , Benzin   , Düz   , 1390 cc   , 83 hp   , 197.000 km   ,
2203, Mercedes - Benz   , E   , 320 Avantgarde   , 2005   , LPG & Benzin   , Otomatik   , 3199 cc   , 224 hp   , 522.000 km   ,
2204, Tofaş   , Murat   , 131   , 1986   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 230.000 km   ,
2205, Ford   , Focus   , 1.5 TDCi Trend X   , 2015   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 167.000 km   ,
2206, Fiat   , Punto   , 1.3 Multijet Easy   , 2013   , Dizel   , Düz   , 1248 cc   , 75 hp   , 117.250 km   ,
2207, Mercedes - Benz   , C   , C 180 Kompressor BlueEfficiency Luxury   , 2010   , LPG & Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 151 - 175 HP   , 113.000 km   ,
2208, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 65 hp   , 200.000 km   ,
2209, Renault   , Symbol   , 1.0 Touch   , 2017   , Benzin   , Düz   , 998 cc   , 75 hp   , 27.605 km   ,
2210, Ford   , Focus   , 1.6 Comfort   , 2011   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.000 km   ,
2211, Opel   , Corsa   , 1.3 CDTI Essentia   , 2014   , Dizel   , Düz   , 1248 cc   , 75 hp   , 159.000 km   ,
2212, Ford   , Fusion   , 1.6   , 2004   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.535 km   ,
2213, Hyundai   , Getz   , 1.4 DOHC Start   , 2010   , LPG & Benzin   , Otomatik   , 1399 cc   , 97 hp   , 83.650 km   ,
2214, Kia   , Cerato   , 1.6 LX Basic   , 2008   , Dizel   , Düz   ,,, 420.000 km   ,
2215, Toyota   , Avensis   , 2.0 Sol   , 1999   , LPG & Benzin   , Otomatik   , 1998 cc   , 128 hp   , 286.000 km   ,
2216, Volkswagen   , Passat   , 1.8 T Highline   , 1997   , LPG & Benzin   , Düz   , 1781 cc   , 150 hp   , 300.000 km   ,
2217, Toyota   , Corolla   , 1.6 Comfort   , 2009   , LPG & Benzin   , Düz   , 1598 cc   , 124 hp   , 325.000 km   ,
2218, Renault   , R 11   , Flash   , 1991   , LPG & Benzin   , Düz   ,,, 378.000 km   ,
2219, Hyundai   , Getz   , 1.5 VGT HY KLM   , 2006   , Dizel   , Düz   , 1493 cc   , 110 hp   , 344.500 km   ,
2220, Hyundai   , Accent Era   , 1.4 Start   , 2007   , LPG & Benzin   , Düz   , 1399 cc   , 97 hp   , 300.000 km   ,
2221, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 80 hp   , 246.000 km   ,
2222, Renault   , Megane   , 1.5 Blue DCI Touch   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 0 km   ,
2223, Renault   , R 9   , 1.4 Broadway   , 1992   , Benzin   , Düz   , 1390 cc   , 83 hp   , 197.000 km   ,
2224, Mercedes - Benz   , E   , 320 Avantgarde   , 2005   , LPG & Benzin   , Otomatik   , 3199 cc   , 224 hp   , 522.000 km   ,
2225, Tofaş   , Murat   , 131   , 1986   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 230.000 km   ,
2226, Ford   , Focus   , 1.5 TDCi Trend X   , 2015   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 167.000 km   ,
2227, Fiat   , Punto   , 1.3 Multijet Easy   , 2013   , Dizel   , Düz   , 1248 cc   , 75 hp   , 117.250 km   ,
2228, Mercedes - Benz   , C   , C 180 Kompressor BlueEfficiency Luxury   , 2010   , LPG & Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 151 - 175 HP   , 113.000 km   ,
2229, Renault   , Symbol   , 1.0 Touch   , 2017   , Benzin   , Düz   , 998 cc   , 75 hp   , 27.605 km   ,
2230, Ford   , Focus   , 1.6 Comfort   , 2011   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.000 km   ,
2231, Opel   , Corsa   , 1.3 CDTI Essentia   , 2014   , Dizel   , Düz   , 1248 cc   , 75 hp   , 159.000 km   ,
2232, Ford   , Fusion   , 1.6   , 2004   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.535 km   ,
2233, Hyundai   , Getz   , 1.4 DOHC Start   , 2010   , LPG & Benzin   , Otomatik   , 1399 cc   , 97 hp   , 83.650 km   ,
2234, Kia   , Cerato   , 1.6 LX Basic   , 2008   , Dizel   , Düz   ,,, 420.000 km   ,
2235, Toyota   , Avensis   , 2.0 Sol   , 1999   , LPG & Benzin   , Otomatik   , 1998 cc   , 128 hp   , 286.000 km   ,
2236, Volkswagen   , Passat   , 1.8 T Highline   , 1997   , LPG & Benzin   , Düz   , 1781 cc   , 150 hp   , 300.000 km   ,
2237, Toyota   , Corolla   , 1.6 Comfort   , 2009   , LPG & Benzin   , Düz   , 1598 cc   , 124 hp   , 325.000 km   ,
2238, Renault   , R 11   , Flash   , 1991   , LPG & Benzin   , Düz   ,,, 378.000 km   ,
2239, Hyundai   , Getz   , 1.5 VGT HY KLM   , 2006   , Dizel   , Düz   , 1493 cc   , 110 hp   , 344.500 km   ,
2240, Hyundai   , Accent Era   , 1.4 Start   , 2007   , LPG & Benzin   , Düz   , 1399 cc   , 97 hp   , 300.000 km   ,
2241, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 80 hp   , 246.000 km   ,
2242, Renault   , Megane   , 1.5 Blue DCI Touch   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 0 km   ,
2243, Renault   , R 9   , 1.4 Broadway   , 1992   , Benzin   , Düz   , 1390 cc   , 83 hp   , 197.000 km   ,
2244, Mercedes - Benz   , E   , 320 Avantgarde   , 2005   , LPG & Benzin   , Otomatik   , 3199 cc   , 224 hp   , 522.000 km   ,
2245, Tofaş   , Murat   , 131   , 1986   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 230.000 km   ,
2246, Ford   , Focus   , 1.5 TDCi Trend X   , 2015   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 167.000 km   ,
2247, Fiat   , Punto   , 1.3 Multijet Easy   , 2013   , Dizel   , Düz   , 1248 cc   , 75 hp   , 117.250 km   ,
2248, Mercedes - Benz   , C   , C 180 Kompressor BlueEfficiency Luxury   , 2010   , LPG & Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 151 - 175 HP   , 113.000 km   ,
2249, Renault   , Symbol   , 1.0 Touch   , 2017   , Benzin   , Düz   , 998 cc   , 75 hp   , 27.605 km   ,
2250, Ford   , Focus   , 1.6 Comfort   , 2011   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.000 km   ,
2251, Opel   , Corsa   , 1.3 CDTI Essentia   , 2014   , Dizel   , Düz   , 1248 cc   , 75 hp   , 159.000 km   ,
2252, Ford   , Fusion   , 1.6   , 2004   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.535 km   ,
2253, Hyundai   , Getz   , 1.4 DOHC Start   , 2010   , LPG & Benzin   , Otomatik   , 1399 cc   , 97 hp   , 83.650 km   ,
2254, Kia   , Cerato   , 1.6 LX Basic   , 2008   , Dizel   , Düz   ,,, 420.000 km   ,
2255, Toyota   , Avensis   , 2.0 Sol   , 1999   , LPG & Benzin   , Otomatik   , 1998 cc   , 128 hp   , 286.000 km   ,
2256, Volkswagen   , Passat   , 1.8 T Highline   , 1997   , LPG & Benzin   , Düz   , 1781 cc   , 150 hp   , 300.000 km   ,
2257, Toyota   , Corolla   , 1.6 Comfort   , 2009   , LPG & Benzin   , Düz   , 1598 cc   , 124 hp   , 325.000 km   ,
2258, Renault   , R 11   , Flash   , 1991   , LPG & Benzin   , Düz   ,,, 378.000 km   ,
2259, Hyundai   , Getz   , 1.5 VGT HY KLM   , 2006   , Dizel   , Düz   , 1493 cc   , 110 hp   , 344.500 km   ,
2260, Hyundai   , Accent Era   , 1.4 Start   , 2007   , LPG & Benzin   , Düz   , 1399 cc   , 97 hp   , 300.000 km   ,
2261, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 80 hp   , 246.000 km   ,
2262, Renault   , Megane   , 1.5 Blue DCI Touch   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 0 km   ,
2263, Renault   , R 9   , 1.4 Broadway   , 1992   , Benzin   , Düz   , 1390 cc   , 83 hp   , 197.000 km   ,
2264, Mercedes - Benz   , E   , 320 Avantgarde   , 2005   , LPG & Benzin   , Otomatik   , 3199 cc   , 224 hp   , 522.000 km   ,
2265, Tofaş   , Murat   , 131   , 1986   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 230.000 km   ,
2266, Ford   , Focus   , 1.5 TDCi Trend X   , 2015   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 167.000 km   ,
2267, Fiat   , Punto   , 1.3 Multijet Easy   , 2013   , Dizel   , Düz   , 1248 cc   , 75 hp   , 117.250 km   ,
2268, Mercedes - Benz   , C   , C 180 Kompressor BlueEfficiency Luxury   , 2010   , LPG & Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 151 - 175 HP   , 113.000 km   ,
2269, Fiat   , Linea   , 1.3 Multijet Actual   , 2012   , Dizel   , Düz   , 1248 cc   , 90 hp   , 280.000 km   ,
2270, Renault   , Symbol   , 1.0 Touch   , 2017   , Benzin   , Düz   , 998 cc   , 75 hp   , 27.605 km   ,
2271, Ford   , Focus   , 1.6 Comfort   , 2011   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.000 km   ,
2272, Opel   , Corsa   , 1.3 CDTI Essentia   , 2014   , Dizel   , Düz   , 1248 cc   , 75 hp   , 159.000 km   ,
2273, Ford   , Fusion   , 1.6   , 2004   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.535 km   ,
2274, Hyundai   , Getz   , 1.4 DOHC Start   , 2010   , LPG & Benzin   , Otomatik   , 1399 cc   , 97 hp   , 83.650 km   ,
2275, Kia   , Cerato   , 1.6 LX Basic   , 2008   , Dizel   , Düz   ,,, 420.000 km   ,
2276, Toyota   , Avensis   , 2.0 Sol   , 1999   , LPG & Benzin   , Otomatik   , 1998 cc   , 128 hp   , 286.000 km   ,
2277, Volkswagen   , Passat   , 1.8 T Highline   , 1997   , LPG & Benzin   , Düz   , 1781 cc   , 150 hp   , 300.000 km   ,
2278, Toyota   , Corolla   , 1.6 Comfort   , 2009   , LPG & Benzin   , Düz   , 1598 cc   , 124 hp   , 325.000 km   ,
2279, Renault   , R 11   , Flash   , 1991   , LPG & Benzin   , Düz   ,,, 378.000 km   ,
2280, Hyundai   , Getz   , 1.5 VGT HY KLM   , 2006   , Dizel   , Düz   , 1493 cc   , 110 hp   , 344.500 km   ,
2281, Hyundai   , Accent Era   , 1.4 Start   , 2007   , LPG & Benzin   , Düz   , 1399 cc   , 97 hp   , 300.000 km   ,
2282, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 80 hp   , 246.000 km   ,
2283, Renault   , Megane   , 1.5 Blue DCI Touch   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 0 km   ,
2284, Renault   , R 9   , 1.4 Broadway   , 1992   , Benzin   , Düz   , 1390 cc   , 83 hp   , 197.000 km   ,
2285, Mercedes - Benz   , E   , 320 Avantgarde   , 2005   , LPG & Benzin   , Otomatik   , 3199 cc   , 224 hp   , 522.000 km   ,
2286, Tofaş   , Murat   , 131   , 1986   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 230.000 km   ,
2287, Ford   , Focus   , 1.5 TDCi Trend X   , 2015   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 167.000 km   ,
2288, Fiat   , Punto   , 1.3 Multijet Easy   , 2013   , Dizel   , Düz   , 1248 cc   , 75 hp   , 117.250 km   ,
2289, Rover   , 620   , Ti   , 1996   , LPG & Benzin   , Düz   , 1994 cc   , 200 hp   , 242.000 km   ,
2290, Fiat   , Linea   , 1.3 Multijet Actual   , 2012   , Dizel   , Düz   , 1248 cc   , 90 hp   , 280.000 km   ,
2291, Renault   , Symbol   , 1.0 Touch   , 2017   , Benzin   , Düz   , 998 cc   , 75 hp   , 27.605 km   ,
2292, Ford   , Focus   , 1.6 Comfort   , 2011   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.000 km   ,
2293, Opel   , Corsa   , 1.3 CDTI Essentia   , 2014   , Dizel   , Düz   , 1248 cc   , 75 hp   , 159.000 km   ,
2294, Ford   , Fusion   , 1.6   , 2004   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.535 km   ,
2295, Hyundai   , Getz   , 1.4 DOHC Start   , 2010   , LPG & Benzin   , Otomatik   , 1399 cc   , 97 hp   , 83.650 km   ,
2296, Kia   , Cerato   , 1.6 LX Basic   , 2008   , Dizel   , Düz   ,,, 420.000 km   ,
2297, Toyota   , Avensis   , 2.0 Sol   , 1999   , LPG & Benzin   , Otomatik   , 1998 cc   , 128 hp   , 286.000 km   ,
2298, Volkswagen   , Passat   , 1.8 T Highline   , 1997   , LPG & Benzin   , Düz   , 1781 cc   , 150 hp   , 300.000 km   ,
2299, Toyota   , Corolla   , 1.6 Comfort   , 2009   , LPG & Benzin   , Düz   , 1598 cc   , 124 hp   , 325.000 km   ,
2300, Renault   , R 11   , Flash   , 1991   , LPG & Benzin   , Düz   ,,, 378.000 km   ,
2301, Hyundai   , Getz   , 1.5 VGT HY KLM   , 2006   , Dizel   , Düz   , 1493 cc   , 110 hp   , 344.500 km   ,
2302, Hyundai   , Accent Era   , 1.4 Start   , 2007   , LPG & Benzin   , Düz   , 1399 cc   , 97 hp   , 300.000 km   ,
2303, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 80 hp   , 246.000 km   ,
2304, Renault   , Megane   , 1.5 Blue DCI Touch   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 0 km   ,
2305, Renault   , R 9   , 1.4 Broadway   , 1992   , Benzin   , Düz   , 1390 cc   , 83 hp   , 197.000 km   ,
2306, Mercedes - Benz   , E   , 320 Avantgarde   , 2005   , LPG & Benzin   , Otomatik   , 3199 cc   , 224 hp   , 522.000 km   ,
2307, Tofaş   , Murat   , 131   , 1986   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 230.000 km   ,
2308, Ford   , Focus   , 1.5 TDCi Trend X   , 2015   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 167.000 km   ,
2309, Volkswagen   , Polo   , 1.4 TDi   , 2004   , Dizel   , Düz   ,,, 240.000 km   ,
2310, Rover   , 620   , Ti   , 1996   , LPG & Benzin   , Düz   , 1994 cc   , 200 hp   , 242.000 km   ,
2311, Fiat   , Linea   , 1.3 Multijet Actual   , 2012   , Dizel   , Düz   , 1248 cc   , 90 hp   , 280.000 km   ,
2312, Renault   , Symbol   , 1.0 Touch   , 2017   , Benzin   , Düz   , 998 cc   , 75 hp   , 27.605 km   ,
2313, Ford   , Focus   , 1.6 Comfort   , 2011   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.000 km   ,
2314, Opel   , Corsa   , 1.3 CDTI Essentia   , 2014   , Dizel   , Düz   , 1248 cc   , 75 hp   , 159.000 km   ,
2315, Ford   , Fusion   , 1.6   , 2004   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.535 km   ,
2316, Hyundai   , Getz   , 1.4 DOHC Start   , 2010   , LPG & Benzin   , Otomatik   , 1399 cc   , 97 hp   , 83.650 km   ,
2317, Kia   , Cerato   , 1.6 LX Basic   , 2008   , Dizel   , Düz   ,,, 420.000 km   ,
2318, Toyota   , Avensis   , 2.0 Sol   , 1999   , LPG & Benzin   , Otomatik   , 1998 cc   , 128 hp   , 286.000 km   ,
2319, Volkswagen   , Passat   , 1.8 T Highline   , 1997   , LPG & Benzin   , Düz   , 1781 cc   , 150 hp   , 300.000 km   ,
2320, Toyota   , Corolla   , 1.6 Comfort   , 2009   , LPG & Benzin   , Düz   , 1598 cc   , 124 hp   , 325.000 km   ,
2321, Renault   , R 11   , Flash   , 1991   , LPG & Benzin   , Düz   ,,, 378.000 km   ,
2322, Hyundai   , Getz   , 1.5 VGT HY KLM   , 2006   , Dizel   , Düz   , 1493 cc   , 110 hp   , 344.500 km   ,
2323, Hyundai   , Accent Era   , 1.4 Start   , 2007   , LPG & Benzin   , Düz   , 1399 cc   , 97 hp   , 300.000 km   ,
2324, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 80 hp   , 246.000 km   ,
2325, Renault   , Megane   , 1.5 Blue DCI Touch   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 0 km   ,
2326, Renault   , R 9   , 1.4 Broadway   , 1992   , Benzin   , Düz   , 1390 cc   , 83 hp   , 197.000 km   ,
2327, Mercedes - Benz   , E   , 320 Avantgarde   , 2005   , LPG & Benzin   , Otomatik   , 3199 cc   , 224 hp   , 522.000 km   ,
2328, Tofaş   , Murat   , 131   , 1986   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 230.000 km   ,
2329, Volkswagen   , Polo   , 1.4 TDi   , 2004   , Dizel   , Düz   ,,, 240.000 km   ,
2330, Rover   , 620   , Ti   , 1996   , LPG & Benzin   , Düz   , 1994 cc   , 200 hp   , 242.000 km   ,
2331, Fiat   , Linea   , 1.3 Multijet Actual   , 2012   , Dizel   , Düz   , 1248 cc   , 90 hp   , 280.000 km   ,
2332, Renault   , Symbol   , 1.0 Touch   , 2017   , Benzin   , Düz   , 998 cc   , 75 hp   , 27.605 km   ,
2333, Ford   , Focus   , 1.6 Comfort   , 2011   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.000 km   ,
2334, Opel   , Corsa   , 1.3 CDTI Essentia   , 2014   , Dizel   , Düz   , 1248 cc   , 75 hp   , 159.000 km   ,
2335, Ford   , Fusion   , 1.6   , 2004   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.535 km   ,
2336, Hyundai   , Getz   , 1.4 DOHC Start   , 2010   , LPG & Benzin   , Otomatik   , 1399 cc   , 97 hp   , 83.650 km   ,
2337, Kia   , Cerato   , 1.6 LX Basic   , 2008   , Dizel   , Düz   ,,, 420.000 km   ,
2338, Toyota   , Avensis   , 2.0 Sol   , 1999   , LPG & Benzin   , Otomatik   , 1998 cc   , 128 hp   , 286.000 km   ,
2339, Volkswagen   , Passat   , 1.8 T Highline   , 1997   , LPG & Benzin   , Düz   , 1781 cc   , 150 hp   , 300.000 km   ,
2340, Toyota   , Corolla   , 1.6 Comfort   , 2009   , LPG & Benzin   , Düz   , 1598 cc   , 124 hp   , 325.000 km   ,
2341, Renault   , R 11   , Flash   , 1991   , LPG & Benzin   , Düz   ,,, 378.000 km   ,
2342, Hyundai   , Getz   , 1.5 VGT HY KLM   , 2006   , Dizel   , Düz   , 1493 cc   , 110 hp   , 344.500 km   ,
2343, Hyundai   , Accent Era   , 1.4 Start   , 2007   , LPG & Benzin   , Düz   , 1399 cc   , 97 hp   , 300.000 km   ,
2344, Renault   , Clio   , 1.5 dCi Alize   , 2005   , Dizel   , Düz   , 1461 cc   , 80 hp   , 246.000 km   ,
2345, Renault   , Megane   , 1.5 Blue DCI Touch   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 0 km   ,
2346, Renault   , R 9   , 1.4 Broadway   , 1992   , Benzin   , Düz   , 1390 cc   , 83 hp   , 197.000 km   ,
2347, Mercedes - Benz   , E   , 320 Avantgarde   , 2005   , LPG & Benzin   , Otomatik   , 3199 cc   , 224 hp   , 522.000 km   ,
2348, Tofaş   , Murat   , 131   , 1986   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 230.000 km   ,
2349, Volkswagen   , Polo   , 1.4 TDi   , 2004   , Dizel   , Düz   ,,, 240.000 km   ,
2350, Rover   , 620   , Ti   , 1996   , LPG & Benzin   , Düz   , 1994 cc   , 200 hp   , 242.000 km   ,
2351, Fiat   , Linea   , 1.3 Multijet Actual   , 2012   , Dizel   , Düz   , 1248 cc   , 90 hp   , 280.000 km   ,
2352, Renault   , Symbol   , 1.0 Touch   , 2017   , Benzin   , Düz   , 998 cc   , 75 hp   , 27.605 km   ,
2353, Ford   , Focus   , 1.6 Comfort   , 2011   , LPG & Benzin   , Düz   , 1596 cc   , 100 hp   , 150.000 km   ,
2354, Opel   , Corsa   , 1.3 CDTI Essentia   , 2014   , Dizel   , Düz   , 1248 cc   , 75 hp   , 159.000 km   ,
